NAME;E;N;Z
Chalet de Tsanfleuron;2587953;1131732;2180
Cabane du Vieux Emosson;2558342;1101359;2181
Rifugio Piatt Fontana;2696847;1141415;2184
Alp Giop;2782817;1152196;2184
Tällihütte;2742791;1178554;2184
Prudellhüttli;2740670;1208113;2186
Capanna Nido d'Aquila;2711996;1151550;2186
Alp Muntatsch;2786120;1157694;2188
Restaurant de la Breya;2574052;1096735;2189
Cabane de la Tourche;2570913;1118182;2190
Observatoire François-Xavier Bagnoud;2613425;1119649;2192
Cabane d'Essertze;2594850;1110730;2193
Restaurant du Tracouet;2587986;1112262;2193
Restaurant Almageller-Alp;2642230;1105661;2194
Lorenzhütti;2730442;1153361;2196
Berggasthaus Parsennhütte;2782013;1191582;2200
Restaurant Mattmark;2639933;1099764;2200
Rifugio Föisc;2694311;1154266;2200
Restaurant Stafelalp;2619246;1094765;2201
Vernelahütte;2797086;1188917;2201
Alp Laret;2812424;1187378;2203
Gaulihütte SAC;2659586;1163909;2204
Restaurant Tufternalp;2625968;1097636;2204
Refuge du Col de Balme;2563716;1097348;2205
Capanna Scaletta SAT;2715040;1162934;2205
Bärghuis Jochpass;2672493;1181297;2208
Bergrestaurant Trutz;2782167;1151832;2208
Restaurant des Chottes;2592823;1111979;2209
Leutschachhütte SAC;2688771;1182050;2209
Cabane des Violettes CAS;2604728;1132334;2209
Galaaxy Restaurants;2735569;1188611;2211
Mungga Hütta;2781904;1191386;2212
Alpenlodge Kühboden;2651099;1140381;2213
June-Hütte;2758622;1176912;2214
Alphitta Riffelalp;2624113;1094485;2215
Bergrestaurant Höhenweg;2781981;1188129;2216
Hotel Restaurant Jungfrau;2650962;1140287;2216
Wägerhütta;2791194;1182433;2216
Ristorante Al Bosco;2624169;1094540;2217
Alpage du Marais;2609293;1114868;2217
Hotel Alpina;2651053;1140381;2217
Hotel Eggishorn;2651052;1140307;2217
Cassinetta;2686584;1157997;2217
Ristorante Al Bosco;2624173;1094540;2220
Bergrestaurant Pizolhütte;2750517;1204991;2221
Restaurant les Violettes;2604594;1132348;2221
Bergrestaurant Laufbodenstübli;2751977;1205136;2222
Cascina Nuova;2682252;1153333;2222
Restaurant Unterer Schafberg;2789430;1152883;2223
Faniner Galtihütte;2771757;1193034;2223
Berghaus Männlichen;2638571;1162376;2224
Schutzhütte Abgschütz;2660834;1181412;2226
Rifugio Sasso Nero;2686440;1146521;2229
Varneralpe;2610678;1132781;2230
Restaurant Sustenpass;2677091;1175818;2230
Buvette de Tsartsey;2606191;1117401;2231
Cascina della Gana;2683902;1157381;2232
Panoramarestaurant Alpen Tower;2662548;1176594;2233
Carschinahütte SAC;2781627;1208989;2234
Ospizio La Veduta;2774996;1149060;2235
Restaurant Combatseline;2591855;1109822;2238
Chalet Mont Noble;2602777;1117682;2238
Cabane de Louvie;2589765;1099490;2239
Cookie Café;2551891;1115816;2250
Chamonna Tuoi CAS;2805494;1190154;2250
Chamona d'Ela CAS;2772569;1165535;2252
Restaurant Lac de Moiry;2610417;1109693;2255
Sustlihütte SAC;2678859;1178351;2255
Bahnhofbuffet Ospizio Bernina;2798448;1142976;2255
Capanna Leìt;2698328;1146975;2258
Berggasthaus Sustenpass Hospiz;2677242;1175765;2258
Camona Vorab;2734128;1191493;2258
Cry d'Er Club d'Altitude;2603069;1131473;2260
Cry d'Er Club d'Altitude;2603064;1131480;2260
Schmadrihütte AACB;2634827;1149860;2260
Gipfelrestaurant Chäserrugg;2742091;1224387;2261
Gummihitta;2646213;1168614;2261
Alpbeizli Nurdagn;2745906;1164795;2262
Berghaus Rothorn Kulm;2646038;1182004;2264
Heidelberger Hütte DAV;2814872;1199262;2264
Restaurant Le Dahu;2586826;1103218;2264
Europahütte;2628403;1106084;2265
Cabane de Plan Névé;2577306;1122326;2265
Binntalhütte SAC;2665644;1136282;2267
Seehütte;2746805;1156014;2270
Rifugio Gana Rossa;2707997;1151528;2272
Restaurant Alpetta;2782548;1145841;2273
Leglerhütte SAC;2725010;1198676;2273
Zapporthütte SAC;2727055;1151199;2276
Schäferhüttli;2741714;1224225;2277
Bergrestaurant Hubelhütte;2781505;1180094;2278
Bergrestaurant Hubelhütte;2781503;1180099;2278
Cabane Philippe Morel;2675636;1189855;2278
Restaurant Chadafö;2783050;1154486;2280
Cascina di Val Torta;2689897;1157621;2281
Bergrestaurant Gotschnagrat;2783678;1192576;2282
Buffet Bar Sunnegga;2625659;1096232;2284
Wildenmattenhütte;2693648;1160158;2289
Chasa da Cunfin;2816325;1167120;2289
Rugghubelhütte SAC;2678113;1188846;2290
Rugghubelhütte SAC;2678126;1188851;2291
Mountain Lodge ze Seewjinu;2626422;1094990;2292
Mountain Lodge ze Seewjinu;2626421;1094998;2292
Ramozhütte SAC;2768533;1177888;2292
Cascina d'Orsino;2684207;1158962;2293
Refuge de Pierredar;2581221;1130017;2296
Cesa da Sett;2768998;1142819;2301
Clubhütte Grubenalp;2639269;1112224;2301
Wildhornhütte SAC;2596105;1136432;2303
Hotel Bernina Hospiz;2798602;1143257;2307
Albergo Ristorante Cambrena;2798664;1143187;2307
Restaurant Rinderhütte;2616167;1135267;2307
Camona da Punteglias CAS;2715885;1181794;2310
Bergrestaurant La Chüdera;2780245;1143898;2312
Berggasthaus Albula Hospiz;2783849;1161839;2314
Chamanna Munt;2791360;1164978;2314
Camona da Maighels CAS;2695843;1164557;2315
Glecksteinhütte SAC;2650384;1163973;2318
Eiger-Ostegghütte;2646169;1161189;2318
Restaurant Eigergletscher;2641091;1158298;2319
Tritthütta;2744866;1168351;2319
Restaurant Alp Languard;2790626;1151506;2322
Gitschenhörelihütte;2682844;1190194;2326
Chamonna dal Linard CAS;2801909;1184319;2327
Restaurant du Crêt-du-Midi;2606981;1119768;2328
Bächlitalhütte SAC;2664683;1159871;2329
Niwi Hitta;2658288;1139506;2329
Rosenlauibiwak SAC;2655786;1167803;2329
Restaurant Savoleyres;2583064;1107872;2333
Capanna da l'Albigna CAS;2770668;1133366;2333
Hüfihütte;2705369;1184330;2334
Berghotel Wildstrubel;2613604;1138497;2334
Bergrestaurant Hannig;2636950;1107168;2334
Hüfihütte SAC;2705369;1184336;2334
Gipfelhütte Alvier;2749938;1219504;2336
Berggasthaus Trift;2621874;1097650;2336
Capanna Corno-Gries CAS;2674618;1146656;2336
Berghaus Niesen;2616279;1165998;2336
Hôtel Weisshorn;2613811;1117442;2338
Silvrettahütte SAC;2798462;1192555;2340
Berghaus Männdlenen;2640575;1168777;2344
Cabane Bella-Tola;2613548;1120176;2344
Bergrestaurant Heidbodme;2641532;1103525;2345
Galehitte;2662992;1150898;2345
Berghaus Oberaar;2664338;1155638;2347
Berghaus Strelapass;2779939;1187376;2349
Chelenalphütte SAC;2676617;1169431;2351
Cabane du Demècre;2572481;1113690;2354
Rifugio Curciusa;2738681;1146906;2357
Anenhütte;2636341;1144910;2358
Restaurant Gütsch;2690547;1167884;2360
Gletscherstube Märjelen;2650981;1143449;2366
Tegia da Cavorgia;2723575;1187713;2368
Bergseehütte SAC;2680083;1167884;2371
Chamanna Val Champagna;2790415;1155585;2372
Rifugio Ganan;2732699;1138146;2375
Alp Bella;2824131;1208050;2379
Passhotel Flüela-Hospiz;2791641;1180739;2381
Alp Bella;2824130;1208069;2381
Cufercalhütte SAC;2747151;1162034;2385
Capanna Adula UTOE;2720457;1150544;2391
Lauteraarhütte SAC;2660070;1157943;2392
Capanna Adula UTOE;2720447;1150536;2393
Mittlenberghütte;2664556;1137474;2394
Chamannin Sur;2792720;1166397;2396
Chamannin Sur;2792722;1166395;2396
Rifugio Pian Grand;2732588;1141662;2397
Bergrestaurant Kreuzboden;2640550;1109819;2401
Sattelhütte;2768650;1184949;2401
Cassine Lei di Cima;2698916;1145568;2401
Salbitschijenbiwak SAC;2683021;1170010;2402
Cascina della Prosa;2688291;1157186;2403
Fernandeshitta;2644628;1167976;2404
Panixerpasshütte;2726989;1190778;2407
Vernissage Berghaus Plattjen;2638677;1105044;2409
Gelmerhütte SAC;2669236;1164845;2414
Restaurant Furkablick;2675364;1158801;2425
Restaurant Furkablick;2675353;1158798;2426
Lagginbiwak SAC;2646864;1112732;2428
Schilthornhütte;2632514;1157726;2432
Cabane du Fenestral;2573904;1115333;2434
Restaurant Plan du Fou;2588792;1109830;2435
Restaurant de Sorebois;2612720;1110312;2437
Restaurant de Sorebois;2612732;1110311;2437
Burgihitta;2643749;1169087;2438
Dammahütte SAC;2678024;1166464;2440
Alp Muottas;2789247;1155167;2444
Bergrestaurant Spielboden;2635669;1104655;2446
Grüehorenhütte;2714687;1185465;2449
Romantik Hotel Muottas Muragl;2788995;1155245;2450
Claridenhütte SAC;2714152;1190909;2453
Hüsegghütte;2667829;1156998;2453
Cabane du Mont Fort CAS;2587811;1103577;2455
Refuge de la Barmaz;2595925;1101120;2458
Chessihütte;2788526;1196316;2459
Chamanna Spinas;2780751;1160008;2460
Gspaltenhornhütte SAC;2628520;1151334;2461
Cabane de Chanrion CAS;2595529;1087512;2462
Wiwannihütte;2632580;1132679;2462
Berggasthaus Alter Säntis;2744250;1234938;2465
Restaurant Säntisgipfel;2744114;1234896;2471
Hospice du Grand-Saint-Bernard;2579192;1079762;2475
Cabane de Mille;2582029;1095821;2475
Chamonna Cler;2809553;1186847;2475
Restaurant Nufenenpass;2672785;1147828;2478
Bifertenhütte;2721176;1186041;2482
Cabane des Diablerets CAS;2582820;1131950;2485
Cabane Saint-Laurent;2591782;1105182;2486
Quattro BAR;2782694;1153545;2488
Panorama Restaurant Sattel;2822802;1206248;2496
Chamanna da Boval CAS;2791139;1143456;2496
Panorama Restaurant Sattel;2822805;1206256;2497
Muttseehütte SAC;2720492;1190807;2500
Chamonna Lischana CAS;2821166;1183460;2500
Lämmerenhütte SAC;2610450;1138778;2501
Cabane des Audannes;2595798;1132451;2507
Badushütte;2694161;1165773;2507
Hörnlihütte Arosa;2766604;1181946;2510
Gruebenhütte AACBs;2662876;1161954;2513
Camona da Medel CAS;2712938;1166539;2523
Turtmannhütte SAC;2620150;1112104;2524
Trifthütte SAC;2671765;1170058;2525
Schreckhornhütte SAC;2650593;1159167;2527
Reetihitta;2643322;1169026;2535
Chamanna Paradis;2791833;1150524;2539
Chamanna da Grialetsch CAS;2792815;1176312;2542
Albert-Heim-Hütte SAC;2678520;1162477;2543
Cabane de Prarochet;2585271;1129245;2555
Fründenhütte SAC;2623284;1148081;2560
Sun Peak Restaurant;2784037;1182949;2563
Alpinahütte;2782303;1153558;2563
Bietschhornhütte AACB;2629103;1138253;2565
Hotel Riffelberg;2624357;1093567;2565
Bergrestaurant Plattjen Terminus;2639022;1104484;2569
Capanna Cadlimo CAS;2696326;1158586;2570
Rotondohütte SAC;2680204;1155380;2573
Capanna del Forno CAS;2774830;1133695;2575
Chörbschhorahütte;2777814;1184547;2575
Cabane des Ecoulaies;2595442;1101337;2575
Capanna Cristallina CAS;2683530;1147304;2577
Buffet & Bar Riffelberg;2624456;1093509;2579
Chamanna Suvretta;2778978;1152995;2580
Kinhütte;2628496;1104179;2583
Hotel Schwarzsee;2621048;1093312;2583
Cabane Rambert CAS;2576516;1119911;2584
Chamanna da Tschierva CAS;2787719;1142091;2585
Sether Unterkunft;2728574;1190768;2586
Panoramarestaurant Schneehüenerstock;2693126;1169419;2592
Refuge de Chalin CAS;2562051;1114314;2593
Chamanna d'Es-cha CAS;2788746;1165209;2594
Stockhornbiwak SAC;2634039;1136322;2598
Cabane de la Tsa;2605049;1097647;2605
Chamanna Coaz CAS;2784357;1139741;2606
Chamanna Raschèr;2788703;1165273;2608
Berghaus Fluhalp;2628835;1095759;2617
Kesch-Hütte SAC;2786512;1168887;2623
Mountain Lodge Segnespass;2736076;1196120;2626
Mäderhütte;2648172;1123536;2630
Chamanna Saluver;2781557;1155271;2632
Cabane FXB Panossière;2589243;1094138;2640
Oberaletschhütte SAC;2641142;1141650;2642
Panorama-Restaurant Bettmerhorn;2649043;1140084;2643
Cabane du Vélan CAS;2585009;1085057;2643
360° Panoramarestaurant Weisshorngipfel;2767937;1184388;2648
Grassenbiwak SAC;2676992;1180383;2648
