Kanton;Gemeindename;E;N
VD;Valbroye;2554312.481;1180849.572
VD;Jongny;2554341.235;1147444.785
VS;Champéry;2554458.986;1112193.261
FR;Bossonnens;2554616.372;1153270.785
VD;Vevey;2554622.584;1146054.999
VD;Corsier-sur-Vevey;2554876.079;1147551.539
VD;Curtilles;2554932.784;1172058.784
FR;Attalens;2555016.08;1150857.853
FR;Lully (FR);2555019.555;1186654.53
FR;Surpierre;2555441.002;1177661.37
VS;Port-Valais;2555558.106;1136631.781
FR;Estavayer;2555773.329;1188901.912
VD;La Tour-de-Peilz;2556123.068;1145016.078
FR;Les Montets;2556219.359;1185163.666
VD;Lovatens;2556269.427;1171635.626
FR;Le Flon;2556687.042;1161404.109
FR;Sévaz;2556716.558;1187727.309
VD;Maracon;2556786.924;1156240.897
FR;Siviriez;2557118.922;1167998.969
FR;Remaufens;2557257.586;1153594.094
VD;Dompierre (VD);2557396.727;1173571.59
VD;Prévonloup;2557483.089;1171945.487
FR;Saint-Martin (FR);2557602.065;1158207.592
VD;Henniez;2557840.045;1176927.302
VD;Noville;2558047.09;1136590.174
FR;Ménières;2558105.14;1181740.823
VS;Val-d'Illiez;2558235.591;1115947.938
VD;Chessel;2558243.154;1133389.761
FR;Cugy (FR);2558467.894;1184390.753
NE;Neuchâtel;2558516.804;1203525.203
NE;Milvignes;2558516.804;1203525.203
FR;Billens-Hennens;2558562.137;1171207.377
VS;Vouvry;2558564.534;1131869.422
VS;Vionnaz;2558597.101;1128688.892
JU;Les Bois;2559033.002;1225369.098
VD;Villarzel;2559446.323;1176914.548
BE;Renan (BE);2559489.823;1217508.761
VD;Montreux;2559544.933;1142768.954
VD;Chevroux;2559785.387;1193391.981
BE;La Ferrière;2559871.44;1221223.543
VD;Rennaz;2559916.81;1136190.228
FR;Fétigny;2559922.096;1182622.052
VS;Troistorrents;2560209.435;1122867.207
FR;La Verrerie;2560222.7;1159693.011
VD;Yvorne;2560477.614;1132425.449
VD;Roche (VD);2560487.453;1134343.915
VD;Trey;2560651.887;1180286.427
FR;Mézières (FR);2560898.781;1170032.756
VD;Grandcour;2561094.308;1191537.816
FR;Vuisternens-devant-Romont;2561262.794;1166758.396
VD;Payerne;2561297.978;1186173.96
FR;Romont (FR);2561491.5;1171268.414
JU;Grandfontaine;2561722.129;1249240.366
FR;Gletterens;2561748.386;1194465.049
FR;Villaz;2561859.939;1172928.54
FR;Châtel-Saint-Denis;2562015.844;1153732.614
VS;Monthey;2562050.393;1123421.144
VS;Collombey-Muraz;2562147.669;1125255.981
VS;Finhaut;2562192.439;1102400.404
JU;Le Noirmont;2562553.849;1229517.068
FR;Châtonnaye;2562573.288;1177768.678
FR;Le Châtelard;2562766.798;1100960.874
FR;Semsales;2562864.869;1158294.692
VS;Evionnaz;2562925.252;1111402.348
VD;Veytaux;2563043.373;1141936.284
FR;Vallon;2563060.508;1192933.184
FR;Vaulruz;2563160.923;1161721.059
BE;Sonvilier;2563434.13;1220155.335
JU;Fahy;2563765.223;1252210.543
VD;Aigle;2563821.02;1129273.277
VD;Corcelles-près-Payerne;2563900.571;1186342.582
FR;Montagny (FR);2563900.571;1186342.582
FR;Torny;2564026.606;1179898.922
VD;Villeneuve (VD);2564084.791;1139561.966
VD;Ollon;2564215.272;1127964.552
FR;Delley-Portalban;2564305.533;1195856.007
FR;Villorsonnens;2564440.014;1174838.298
VD;Missy;2564543.316;1191932.169
FR;Grangettes;2564725.788;1168959.268
FR;Massonnens;2564727.345;1172052.085
FR;Saint-Aubin (FR);2564902.667;1193488.202
VS;Massongex;2565019.714;1120863.286
VD;Corbeyrier;2565240.561;1135568.27
VS;Vérossaz;2565290.157;1119298.716
JU;Muriaux;2565652.346;1232717.253
VS;Trient;2565780.366;1098215.153
FR;Belmont-Broye;2565964.304;1189651.525
FR;Chénens;2566207.211;1176914.763
VS;Martigny-Combe;2566449.4;1104732.833
VD;Vully-les-Lacs;2566553.921;1194912.99
JU;Bure;2566585.733;1254456.235
VS;Salvan;2566595.378;1109074.969
