Kanton;Gemeindename;E;N
AG;Schafisheim;2652843.753;1247401.056
AG;Schwaderloch;2652963.555;1270625.266
AG;Gontenschwil;2653308.871;1235437.139
AG;Veltheim (AG);2653331.707;1253511.148
LU;Rickenbach (LU);2653959.65;1227963.683
AG;Dürrenäsch;2653980.679;1241169.426
LU;Schenkon;2654159.918;1224245.569
AG;Villnachern;2654198.565;1258021.652
AG;Staufen;2654404.665;1247484.164
AG;Zetzwil;2654527.242;1237794.277
LU;Nottwil;2654795.535;1218270.132
AG;Bözberg;2654944.751;1258921.98
AG;Niederlenz;2655040.334;1250678.296
AG;Brugg;2655138.201;1256127.407
VS;Bellwald;2655186.39;1143800.304
AG;Leimbach (AG);2655186.677;1236222.178
AG;Seon;2655388.709;1245114.379
BE;Hasliberg;2655397.264;1178281.447
AG;Holderbank (AG);2655445.356;1253554.672
AG;Leibstadt;2655559.332;1270977.752
AG;Lenzburg;2655562.057;1247985.763
BE;Schattenhalb;2655602.956;1170958.121
AG;Leutwil;2655605.661;1239910.057
AG;Reinach (AG);2655717.059;1234995.188
LU;Eich;2655743.721;1223322.838
AG;Hallwil;2655787.09;1242168.79
AG;Remigen;2655806.812;1263165.546
AG;Boniswil;2655974.177;1240656.989
AG;Habsburg;2656335.088;1257043.54
AG;Riniken;2656342.508;1260704.936
AG;Mandach;2656446.24;1267053.464
AG;Egliswil;2656928.371;1244808.965
AG;Birrwil;2656982.087;1238191.08
LU;Malters;2657002.266;1209556.894
AG;Villigen;2657136.819;1264568.967
AG;Menziken;2657177.725;1231936.183
OW;Lungern;2657457.351;1182014.002
AG;Full-Reuenthal;2657470.281;1273266.914
AG;Lupfig;2657671.995;1254764.682
LU;Beromünster;2657878.154;1229106.211
AG;Windisch;2657971.42;1258865.389
AG;Ammerswil;2657981.137;1246643.678
AG;Hausen (AG);2658031.192;1257153.753
AG;Beinwil am See;2658066.964;1235207.884
AG;Birr;2658273.532;1253775.374
AG;Seengen;2658276.645;1242321.824
AG;Leuggern;2658630.129;1271037.374
AG;Böttstein;2658667.314;1267213.604
AG;Othmarsingen;2658671.13;1250519.891
AG;Brunegg;2658855.57;1252549.097
AG;Dintikon;2659144.621;1245875.869
AG;Koblenz;2659419.663;1272074.16
AG;Hendschiken;2659580.25;1249500.197
LU;Sempach;2659730.217;1220247.874
AG;Meisterschwanden;2659736.121;1237988.655
VS;Ernen;2659907.027;1139021.131
AG;Mägenwil;2659988.737;1251744.177
VS;Binn;2660078.268;1134438.452
LU;Neuenkirch;2660225.16;1215510.032
LU;Hildisrieden;2660397.255;1222013.901
LU;Ermensee;2660448.507;1230695.492
AG;Villmergen;2660455.471;1244422.525
AG;Mülligen;2660480.706;1256039.884
AG;Birrhard;2660687.082;1254198.979
AG;Gebenstorf;2660706.752;1259110.835
AG;Fahrwangen;2660879.972;1238024.705
AG;Würenlingen;2660923.164;1264785.727
AG;Dottikon;2660930.074;1247411.32
AG;Klingnau;2661013.182;1271217.622
LU;Aesch (LU);2661113.911;1234433.079
AG;Döttingen;2661166.323;1267422.95
BE;Innertkirchen;2661182.205;1170969.123
LU;Rothenburg;2661401.109;1215191.695
AG;Sarmenstorf;2661419.467;1240350.09
AG;Wohlenschwil;2661448.926;1252255.234
LU;Römerswil;2661472.347;1225006.373
OW;Sachseln;2661512.123;1186039.199
AG;Untersiggenthal;2661600.104;1261774.794
AG;Hägglingen;2661779.765;1249212.493
OW;Sarnen;2661862.441;1194783.577
AG;Wohlen (AG);2661981.176;1244659.696
OW;Alpnach;2662154.138;1203458.773
AG;Bettwil;2662309.188;1239312.87
AG;Birmenstorf (AG);2662456.985;1255987.715
LU;Hitzkirch;2662498.341;1230659.499
AG;Zurzach;2662661.007;1272360.908
AG;Mellingen;2662936.303;1252517.777
LU;Kriens;2663133.306;1207586.57
AG;Tägerig;2663224.139;1248958.95
AG;Uezwil;2663404.105;1240771.546
AG;Tegerfelden;2663742.215;1268108.849
VS;Goms;2663929.993;1148334.998
LU;Rain;2664050.286;1219981.886
OW;Kerns;2664141.119;1197612.259
LU;Hochdorf;2664167.983;1224656.264
AG;Fislisbach;2664268.147;1254300.395
AG;Baden;2664344.711;1258027.603
AG;Kallern;2664355.705;1240477.587
AG;Endingen;2664411.283;1264418.067
AG;Niederwil (AG);2664462.263;1247427.129
AG;Buttwil;2664564.811;1236637.401
AG;Obersiggenthal;2664580.65;1260863.676
LU;Schongau;2664693.664;1233670.008
AG;Waltenschwil;2664872.069;1242931.037
AG;Niederrohrdorf;2665136.824;1252797.979
AG;Stetten (AG);2665278.325;1250664.893
LU;Luzern;2665661.302;1213137.408
AG;Fischbach-Göslikon;2665980.313;1246799.488
AG;Boswil;2666078.381;1238996.401
LU;Emmen;2666125.713;1215556.341
BE;Guttannen;2666308.098;1162185.906
NW;Hergiswil (NW);2666396.77;1205646.797
AG;Freienwil;2666449.601;1261222.294
LU;Horw;2666465.681;1207307.765
AG;Lengnau (AG);2666516.035;1264352.893
LU;Hohenrain;2666657.404;1225710.206
AG;Oberrohrdorf;2666717.885;1252939.476
AG;Neuenhof;2666876.924;1255248.145
NW;Ennetmoos;2666992.137;1199482.743
AG;Ennetbaden;2667012.161;1259161.605
AG;Künten;2667031.017;1249074.128
AG;Bünzen;2667072.362;1240931.833
AG;Geltwil;2667171.804;1233541.364
AG;Bremgarten (AG);2667303.296;1245289.038
AG;Remetschwil;2667623.785;1251174.517
LU;Ballwil;2667787.404;1223190.225
NW;Stansstad;2667840.999;1201939.556
AG;Eggenwil;2667931.665;1247087.821
AG;Killwangen;2668074.208;1253355.618
AG;Wettingen;2668100.937;1257270.343
LU;Eschenbach (LU);2668123.727;1221000.737
VS;Obergoms;2668140.353;1144598.661
AG;Muri (AG);2668169.285;1238654.363
AG;Ehrendingen;2668268.601;1260930.02
AG;Mellikon;2668444.285;1268337.403
AG;Besenbüren;2668504.019;1240517.184
AG;Bellikon;2668683.855;1249405.576
AG;Sins;2668795.985;1226815.946
NW;Stans;2668809.356;1201557.275
AG;Beinwil (Freiamt);2668859.316;1229640.722
LU;Buchrain;2668929.526;1217175.097
LU;Inwil;2669095.696;1221336.673
AG;Widen;2669232.327;1247755.891
AG;Abtwil;2669298.254;1225091.083
AG;Zufikon;2669369.481;1244429.465
LU;Ebikon;2669641.681;1214532.785
AG;Würenlos;2669653.854;1255587.092
AG;Schneisingen;2669881.717;1264550.222
AG;Spreitenbach;2670032.554;1252260.113
AG;Rottenschwil;2670107.21;1240840.125
AG;Aristau;2670348.632;1238167.401
AG;Auw;2670443.155;1229980.578
ZH;Niederweningen;2670526.559;1261101.693
LU;Root;2670590.658;1217224.433
LU;Adligenswil;2670618.284;1213830.642
LU;Meggen;2670798.896;1211513.408
LU;Dierikon;2670991.89;1216278.213
AG;Bergdietikon;2671022.288;1249051.844
ZH;Otelfingen;2671351.333;1257649.11
AG;Merenschwand;2671574.568;1235219.783
AG;Berikon;2671647.98;1245126.546
NW;Wolfenschiessen;2671665.005;1194279.61
AG;Rudolfstetten-Friedlisberg;2671683.924;1246820.673
ZH;Schleinikon;2671774.79;1260835.463
ZH;Hüttikon;2671934.811;1254915.397
AG;Büttikon;2671934.811;1254915.397
NW;Dallenwil;2671954.614;1197291.647
ZH;Oetwil an der Limmat;2671995.048;1253625.597
AG;Oberwil-Lieli;2672012.569;1243649.841
AG;Unterlunkhofen;2672044.262;1241737.355
NW;Oberdorf (NW);2672368.859;1200481.047
ZH;Dietikon;2672431.537;1250356.17
AG;Siglistorf;2672454.833;1264539.743
LU;Gisikon;2672619.421;1220734.932
AG;Mühlau;2672630.457;1231351.644
AG;Oberrüti;2672639.397;1224847.781
AG;Dietwil;2672659.705;1222512.023
ZH;Regensberg;2672662.926;1259416.457
AG;Oberlunkhofen;2672698.541;1240698.969
AG;Fisibach;2672746.639;1267848.744
AG;Jonen;2672771.489;1239207.58
ZH;Oberweningen;2672865.813;1261923.363
LU;Udligenswil;2672978.594;1217651.684
ZH;Boppelsen;2673018.921;1258135.702
ZH;Ottenbach;2673382.535;1237139.777
NW;Ennetbürgen;2673431.877;1204505.193
ZH;Geroldswil;2673528.422;1252912.038
ZH;Schöfflisdorf;2673974.264;1261443.245
ZG;Hünenberg;2674075.089;1230708.755
SH;Trasadingen;2674098.558;1280274.758
AG;Arni (AG);2674169.204;1240970.163
ZH;Bachs;2674334.33;1264692.644
ZH;Obfelden;2674456.245;1234854.065
NW;Buochs;2674488.717;1201869.037
ZH;Dällikon;2674960.716;1254719.662
ZH;Maschwanden;2675132.724;1232112.741
SH;Hallau;2675146.454;1283908.417
ZH;Urdorf;2675235.228;1249346.671
ZH;Aesch (ZH);2675340.496;1243213.576
ZH;Weiningen (ZH);2675346.471;1252791.745
ZH;Weiach;2675486.994;1267459.923
ZH;Buchs (ZH);2675555.917;1256913.634
ZH;Birmensdorf (ZH);2675627.758;1245049.422
LU;Meierskappel;2675669.464;1218856.203
AG;Islisberg;2675742.718;1242043.384
ZH;Unterengstringen;2675911.043;1251644.813
LU;Greppen;2676008.352;1212183.162
LU;Weggis;2676141.227;1211661.496
ZH;Schlieren;2676325.984;1249754.997
ZH;Hedingen;2676516.423;1239543.573
ZH;Dielsdorf;2676629.028;1258813.908
ZH;Steinmaur;2676707.529;1262729.276
ZH;Affoltern am Albis;2676852.012;1236929.718
ZG;Cham;2676876.589;1227744.886
SH;Wilchingen;2677161.334;1281842.931
ZG;Risch;2677404.252;1219772.746
ZH;Bonstetten;2677412.15;1241078.278
ZH;Oberengstringen;2677464.541;1251673.746
ZH;Regensdorf;2677494.177;1253966.615
SH;Oberhallau;2677573.045;1285360.763
ZH;Knonau;2677587.649;1230879.646
ZH;Wasterkingen;2677716.63;1272272.054
ZH;Mettmenstetten;2677789.998;1233600.22
ZH;Wettswil am Albis;2677993.454;1243461.551
ZH;Neerach;2678111.497;1262265.934
ZH;Wil (ZH);2678143.005;1273810.548
ZH;Niederhasli;2678501.934;1260577.155
ZH;Uitikon;2678656;1246418
NW;Beckenried;2679091.065;1197917.345
UR;Realp;2679251.282;1158924.626
ZH;Aeugst am Albis;2679402.872;1235842.01
ZH;Stallikon;2679441.38;1242625.82
NW;Emmetten;2679589.298;1200706.017
ZH;Hüntwangen;2679697.027;1271910.225
SH;Siblingen;2679818.068;1287327.593
SH;Schleitheim;2679934.688;1287834.178
ZH;Rifferswil;2679965.45;1233269.319
LU;Vitznau;2680020.472;1207610.425
ZH;Höri;2680024.762;1262462.129
ZH;Niederglatt;2680043.963;1260671.361
SH;Neunkirch;2680183.453;1281707.981
SH;Gächlingen;2680382.435;1287697.366
ZG;Zug;2680469.743;1226680.214
ZH;Hochfelden;2680564.977;1264693.672
ZG;Steinhausen;2680629.545;1227342.386
ZH;Adliswil;2680696.736;1240684.937
TI;Bosco/Gurin;2680897.35;1130536.413
TI;Bedretto;2680907.698;1149777.776
ZH;Eglisau;2681595.125;1269634.168
OW;Engelberg;2681609.322;1185099.153
ZH;Glattfelden;2681743.997;1267043.736
ZH;Kappel am Albis;2681771.501;1231404.159
ZH;Oberglatt;2681877.147;1259410.183
TI;Campo (Vallemaggia);2681908.945;1127135.304
ZH;Langnau am Albis;2682031.828;1235594.87
ZH;Rümlang;2682181.628;1255867.443
ZG;Walchwil;2682362.279;1215998.565
SH;Beggingen;2682546.402;1291170.206
UR;Göschenen;2682616.539;1169050.941
ZH;Hausen am Albis;2682851.794;1233662.737
UR;Isenthal;2682913.203;1193036.002
ZH;Rafz;2682964.22;1271746.445
SH;Löhningen;2683066.176;1284489.471
ZG;Baar;2683202.517;1228006.283
SZ;Gersau;2683209.538;1206831.039
ZH;Bachenbülach;2683382.623;1261738.649
ZH;Kilchberg (ZH);2683663.554;1241780.12
SH;Buchberg;2683700.608;1269239.155
SH;Rüdlingen;2683819.019;1271842.471
SZ;Arth;2684121.477;1214209.027
ZH;Rüschlikon;2684355.424;1241109.101
ZH;Winkel;2684389.023;1259634.881
TI;Cerentino;2684709.613;1130106.976
ZH;Zürich;2684773.707;1252454.43
ZH;Bülach;2684806.914;1262781.403
ZH;Thalwil;2685110.414;1238147.755
ZH;Rorbas;2685117.786;1265236.058
ZG;Neuheim;2685139.793;1228732.98
TG;Kemmental;2685154.874;1288231.841
SH;Beringen;2685364.753;1283685.788
ZH;Oberrieden;2685547.922;1236388.442
SZ;Steinerberg;2685676.227;1213543.069
UR;Hospental;2685796.844;1162605.827
UR;Seelisberg;2686058.909;1202844.81
ZH;Kloten;2686221.391;1257069.449
ZH;Zollikon;2686304.449;1244037.82
ZH;Opfikon;2686320.862;1253818.487
ZH;Berg am Irchel;2686327.191;1268659.976
SH;Bargen (SH);2686423.582;1294372.306
SZ;Lauerz;2686677.875;1209008.607
TI;Linescio;2687102.315;1128939.208
ZH;Lufingen;2687138.897;1259645.616
SH;Merishausen;2687251.378;1290911.897
ZH;Wallisellen;2687352.435;1252910.794
ZH;Embrach;2687457.095;1262791.7
ZH;Küsnacht (ZH);2687511.44;1241820.29
ZH;Flaach;2687512.518;1270948.915
SH;Neuhausen am Rheinfall;2687598.358;1281558.12
UR;Seedorf (UR);2687625.097;1193581.486
ZH;Erlenbach (ZH);2687764.736;1239883.122
ZG;Unterägeri;2688547.397;1219224.254
ZH;Dietlikon;2688566.589;1253337.003
SZ;Ingenbohl;2688573.265;1207886.834
ZH;Rheinau;2688648.13;1275885.417
UR;Erstfeld;2688711.55;1185274.283
UR;Wassen;2688760.377;1172872.294
ZH;Horgen;2688874.382;1233492.209
ZG;Oberägeri;2688984.926;1221406.559
UR;Attinghausen;2689022.366;1190176.576
TI;Cevio;2689024.951;1128939.041
ZH;Dachsen;2689068.453;1279684.813
SZ;Steinen;2689121.525;1213620.628
ZH;Dättlikon;2689228.043;1264878.536
ZH;Buch am Irchel;2689314.064;1267314.778
SH;Schaffhausen;2689438.878;1288950.874
ZH;Dübendorf;2689512.338;1251504.019
ZH;Nürensdorf;2689553.125;1257591.721
ZH;Bassersdorf;2689557.606;1255056.672
ZH;Zumikon;2689726.787;1243460.024
ZH;Volken;2689744.938;1270228.939
TI;Airolo;2689745.792;1154541.258
ZH;Flurlingen;2689867.716;1282127.243
ZH;Oberembrach;2690047.988;1260553.152
ZH;Herrliberg;2690048.95;1239116.052
UR;Andermatt;2690054.354;1163585.716
ZH;Marthalen;2690209.819;1274873.843
SZ;Sattel;2690280.383;1215159.631
SH;Büttenhardt;2690484.253;1290013.476
ZH;Feuerthalen;2690508.331;1282739.757
SZ;Morschach;2690614.457;1204305.42
ZH;Pfungen;2690679.247;1262803.785
ZH;Fällanden;2690802.638;1247310.808
ZG;Menzingen;2690804.657;1225070.649
ZH;Dorf;2691097.997;1269654.271
ZH;Schwerzenbach;2691189.04;1249105.323
UR;Sisikon;2691272.55;1199687.736
SH;Stetten (SH);2691329.031;1288104.489
ZH;Meilen;2691346.949;1237431.811
ZH;Benken (ZH);2691357.35;1278833.315
UR;Gurtnellen;2691487.553;1175901.503
UR;Altdorf (UR);2691654.823;1193646.746
UR;Flüelen;2692063.48;1197130.255
ZH;Wädenswil;2692127.672;1230678.717
ZH;Wangen-Brüttisellen;2692205;1251895
ZH;Neftenbach;2692217.839;1265243.572
TI;Onsernone;2692326.237;1117021.177
SH;Lohn (SH);2692408.137;1290361.094
UR;Schattdorf;2692662.171;1190253.542
UR;Silenen;2692838.855;1182987.664
ZH;Andelfingen;2693014.097;1272291.235
ZH;Maur;2693112.998;1243136.813
ZH;Brütten;2693211.558;1259007.55
SZ;Schwyz;2693320.43;1209307.261
ZH;Lindau;2693432.138;1255496.711
ZH;Henggart;2693487.194;1268481.255
ZH;Kleinandelfingen;2693715.169;1273645.258
ZH;Greifensee;2693749.766;1246889.623
ZH;Volketswil;2693863.715;1250081.065
SZ;Rothenthurm;2694027.159;1216969.208
ZH;Trüllikon;2694052.571;1275700.291
TI;Lavizzara;2694058.087;1134528.763
ZH;Uetikon am See;2694105.01;1236334.427
ZH;Dänikon;2694724.798;1247481.786
SZ;Riemenstalden;2694975.026;1199338.873
UR;Bürglen (UR);2695019.67;1194002.669
ZH;Männedorf;2695220.984;1235237.826
ZH;Richterswil;2695250.386;1229338.499
SH;Thayngen;2695402.965;1288435.576
TG;Schlatt (TG);2695443.828;1281688.483
SH;Dörflingen;2695732.511;1285021.389
ZH;Hettlingen;2695758.964;1267151.966
UR;Spiringen;2696027.289;1191889.809
ZH;Dägerlen;2696177.56;1268633.089
TI;Centovalli;2696212.549;1113878.951
TI;Brissago;2696215.5;1109268.189
ZH;Oetwil am See;2696379.433;1235751.955
ZH;Ossingen;2696481.98;1274194.07
TG;Diessenhofen;2696484.821;1281760.989
SZ;Wollerau;2696567.565;1226910.235
ZH;Seuzach;2696808.917;1265693.314
SZ;Alpthal;2697001.815;1212491.863
ZH;Uster;2697017.059;1245448.915
ZH;Truttikon;2697026.256;1276546.973
ZH;Illnau-Effretikon;2697062;1253603
ZH;Stäfa;2697666.793;1233951.588
TG;Basadingen-Schlattingen;2697725.041;1279488.742
ZH;Mönchaltorf;2698067.724;1240667.582
ZH;Grüningen;2698215.063;1238330.044
ZH;Thalheim an der Thur;2698295.658;1270963.313
SZ;Einsiedeln;2698493.177;1221093.95
TI;Ronco sopra Ascona;2698505.351;1111290.22
SZ;Illgau;2698651.835;1205963.547
TI;Quinto;2698672.858;1152152.723
ZH;Fehraltorf;2699053.13;1249336.143
SZ;Freienbach;2699728.471;1228717.485
ZH;Gossau (ZH);2699749.589;1240085.069
TI;Maggia;2699790.279;1125095.95
ZH;Dinhard;2699835.926;1268444.775
ZH;Stadel;2699879.624;1266117.895
SZ;Muotathal;2699941.84;1197070.549
SZ;Feusisberg;2700029.263;1226221.716
ZH;Hombrechtikon;2700459.877;1234657.876
TG;Neunforn;2700537.455;1272218.575
ZH;Seegräben;2700561;1242639
ZH;Weisslingen;2700630.234;1254695.432
SZ;Oberiberg;2700751.22;1210042.443
ZH;Wiesendangen;2700835.963;1265406.227
TI;Terre di Pedemonte;2700929.8;1116190.701
TI;Losone;2700935.092;1113874.241
SH;Buch (SH);2700991.731;1285928.542
GR;Tujetsch;2701173.056;1170839.754
ZH;Altikon;2701253.574;1270591.621
ZH;Russikon;2701497.36;1250256.979
TI;Dalpe;2701559.201;1146133.048
ZH;Stammheim;2701597;1276298
ZH;Rickenbach (ZH);2702134.328;1267886.252
UR;Unterschächen;2702463.392;1189942.492
TI;Avegno Gordevio;2702482.104;1117720.604
ZH;Winterthur;2702520.02;1258747.802
ZH;Pfäffikon;2702553.246;1247116.145
TI;Ascona;2702887.262;1112497.737
ZH;Elsau;2702929.564;1262172.258
ZH;Wetzikon (ZH);2703484.568;1241824.341
SH;Ramsen;2703623.407;1284910.109
ZH;Bubikon;2703824.157;1236881.271
ZH;Schlatt (ZH);2704022.471;1258771.804
ZH;Wildberg;2704193.661;1253880.017
TI;Orselina;2704275.963;1114848.702
ZH;Ellikon an der Thur;2704499.172;1268896.047
TG;Uesslingen-Buch;2704563.531;1271089.728
TI;Faido;2704596.37;1147781.727
TI;Locarno;2704619.215;1113280.449
TG;Wagenhausen;2704914.905;1280143.444
ZH;Zell (ZH);2705011.013;1256594.147
ZH;Turbenthal;2705068.608;1255180.608
ZH;Hittnau;2705079.532;1247196.262
SZ;Altendorf;2705133.324;1225551.651
SH;Hemishofen;2705259.991;1282470.235
TI;Muralto;2705328.546;1114587.789
SZ;Unteriberg;2705336.703;1207993.514
TI;Brione sopra Minusio;2706137.421;1116765.112
SH;Stein am Rhein;2706498.691;1280374.68
TI;Verzasca;2706536.757;1121358.497
TI;Minusio;2706573.967;1115163.444
TG;Gachnang;2706601.078;1266304.747
ZH;Hinwil;2706805.502;1242329.106
SG;Rapperswil-Jona;2706890.304;1234209.508
TI;Mergoscia;2706938.074;1118950.026
ZH;Rüti (ZH);2707134.03;1235737.457
ZH;Egg;2707160.819;1260966.665
ZH;Elgg;2707160.819;1260966.665
GR;Disentis/Mustér;2707288.694;1178100.785
TG;Warth-Weiningen;2707545.893;1271647.759
SZ;Lachen;2707564.97;1227881.73
TG;Hüttwilen;2707841.744;1272751.299
ZH;Wila;2707848.875;1250952.312
ZH;Hagenbuch;2708120.555;1263643.917
SZ;Galgenen;2708431.378;1225334.765
TG;Eschenz;2708445.968;1277128.421
TI;Tresa;2708471.51;1094674.581
ZH;Bäretswil;2708475.192;1243798.072
TI;Gambarogno;2708491.719;1105746.002
ZH;Dürnten;2708601.729;1236992.945
TI;Tenero-Contra;2709119.352;1114675.505
TI;Alto Malcantone;2709401.668;1100174.32
TI;Lavertezzo;2709470.853;1126816.346
TI;Lema;2709494.225;1095179.43
TG;Aadorf;2709537.593;1261147.357
TI;Giornico;2709749.826;1139071.679
ZH;Wald (ZH);2709841.767;1236602.141
GR;Medel (Lucmagn);2710170.339;1169743.823
TI;Gordola;2710315.692;1115666.942
SZ;Vorderthal;2710477.617;1220421.249
TI;Pura;2710487.032;1093280.185
TG;Herdern;2710531.48;1274717.366
TI;Aranno;2711079.987;1097251.909
TG;Matzingen;2711220.341;1265845.56
TG;Mammern;2711273.655;1278114.755
TI;Neggio;2711558.183;1093913.916
SZ;Wangen (SZ);2711592.23;1226943.503
TI;Caslano;2711598.572;1092021.678
ZH;Bauma;2711992.329;1246484.524
SG;Eschenbach (SG);2712199.454;1233557.132
TI;Magliaso;2712214.453;1093335.872
ZH;Fischenthal;2712346.172;1243508.61
TI;Personico;2712350.591;1133378.005
TI;Vernate;2712356.167;1094653.961
SZ;Innerthal;2712598.373;1212624.578
TI;Cademario;2712619.622;1097921.292
TG;Felben-Wellhausen;2712784.541;1270580.576
GR;Sumvitg;2712915.294;1180021.354
SZ;Schübelbach;2712967.402;1225785.105
TI;Bioggio;2712993.777;1095876.329
TG;Bichelsee-Balterswil;2713086.588;1256785.034
TI;Riviera;2713271.9;1109472.878
TI;Monteceneri;2713271.9;1109472.878
TI;Cugnasco-Gerra;2713277.552;1117326.718
TG;Frauenfeld;2713346.714;1269356.628
TI;Agno;2713454.589;1095720.583
SG;Schmerikon;2713628.316;1231645.257
SZ;Tuggen;2713711.819;1228811.954
TG;Pfyn;2714037.28;1273186.676
TI;Mezzovico-Vira;2714088.042;1106106.402
TI;Morcote;2714309.259;1088010.333
TI;Bedano;2714408.071;1101089.901
TI;Muzzano;2714511.957;1095051.875
TI;Manno;2714537.159;1098751.278
TI;Gravesano;2714598.67;1099979.991
TG;Stettfurt;2714614.438;1264922.591
TG;Thundorf;2714912.294;1267607.346
TG;Eschlikon;2715130.116;1257708.232
TI;Acquarossa;2715166.801;1146148.021
TG;Wängi;2715188.877;1261894.596
TI;Vico Morcote;2715229.843;1088107.568
TI;Grancia;2715365.953;1091827.162
TI;Collina d'Oro;2715372.151;1092538.955
TI;Torricella-Taverne;2715413.654;1102203.251
TI;Vezia;2715632.235;1097278.734
TI;Lamone;2715639.29;1099500.875
TI;Cadempino;2715759.973;1099267.304
TI;Capriasca;2715849.367;1103390.628
SG;Uznach;2715915.265;1230332.44
TI;Pollegio;2716034.441;1136901.012
TI;Origlio;2716121.672;1100566.013
TI;Brusino Arsizio;2716274.1;1086772.419
TI;Blenio;2716351.335;1150474.544
TG;Sirnach;2716415.17;1257788.595
TI;Sorengo;2716495.509;1095491.928
TI;Massagno;2716526.421;1096807.552
TG;Fischingen;2716536.544;1251791.693
SZ;Reichenburg;2716544.716;1224304.912
TG;Hüttlingen;2716698.894;1270732.888
TI;Savosa;2716700.171;1097839.797
TI;Sant'Antonino;2716776.742;1113620.225
TI;Melide;2716793.456;1091032.364
TI;Cadenazzo;2716904.732;1112029.088
TI;Cureglia;2716921.985;1099473.129
TG;Münchwilen (TG);2717043.725;1260021.997
TI;Stabio;2717057.524;1078030.48
TG;Steckborn;2717225.397;1279837.03
TI;Porza;2717330.556;1098314.447
TG;Lommis;2717354.506;1263752.992
TI;Lugano;2717374.908;1096889.326
TI;Paradiso;2717414.966;1093195.131
BE;Homberg;2717460.089;1276533.235
TG;Homburg;2717460.089;1276533.235
TI;Comano;2717553.202;1099892.767
GR;Trun;2717818.639;1176469.118
SG;Benken (SG);2718016.96;1228002.999
TI;Riva San Vitale;2718241.18;1085578.584
TI;Canobbio;2718275.758;1099256.169
TI;Bissone;2718784.003;1090072.461
TI;Val Mara;2718975.871;1088360.385
GL;Glarus Nord;2719385.436;1215759.188
TG;Wigoltingen;2719440.676;1273166.809
TG;Bettwiesen;2719481.733;1262005.781
TG;Berlingen;2719485.131;1280593.851
TI;Novazzano;2719627.138;1078195.135
SG;Gommiswald;2719800.725;1232390.766
TG;Affeltrangen;2719913.94;1265162.277
TG;Amlikon-Bissegg;2720044.017;1266888.015
SG;Kirchberg (SG);2720064.345;1251900.097
SG;Kaltbrunn;2720077.664;1229855.287
GR;Breil/Brigels;2720134.175;1184221.514
TG;Wilen (TG);2720168.927;1256364.343
TI;Coldrerio;2720223.666;1079753.973
TI;Mendrisio;2720238.235;1079921.523
SG;Mosnang;2720696.305;1246787.066
TI;Arogno;2720707.87;1091082.575
TG;Salenstein;2721027.813;1280033.612
TG;Rickenbach (TG);2721211.951;1256523.841
TG;Raperswilen;2721773.129;1277012.026
SG;Wil (SG);2721830.889;1255686.386
TI;Isone;2721885.271;1110078.583
TI;Balerna;2721913.093;1078023.913
TI;Castel San Pietro;2721976.752;1080692.635
TI;Biasca;2722268.099;1135824.092
TI;Chiasso;2722462.366;1077097.93
TG;Braunau;2722865.483;1262753.821
TI;Morbio Inferiore;2723007.994;1078657.508
TG;Märstetten;2723042.527;1272693.465
TI;Serravalle;2723065.118;1144817.081
SG;Schänis;2723179.047;1224348.664
TI;Bellinzona;2723262.977;1117423.983
SG;Wattwil;2723286.53;1239136.012
TG;Ermatingen;2723659.681;1279802.087
TG;Bussnang;2723761.417;1268547.584
SG;Jonschwil;2724187.801;1252704.807
TI;Vacallo;2724204.812;1078585.773
TG;Wuppenau;2724312.786;1260581.564
GL;Glarus;2724418.44;1209883.684
GR;Obersaxen Mundaun;2724557.283;1175652.5
TG;Wäldi;2724571.364;1277035.09
TI;Breggia;2724670.839;1080519.798
SG;Lichtensteig;2725205.539;1242801.051
SG;Oberuzwil;2725599.299;1255056.171
SG;Weesen;2725640.757;1220766.175
TI;Ponte Capriasca;2725773.366;1109365.669
SG;Lütisburg;2726096.347;1250500.422
TI;Lumino;2726257.958;1121706.383
TG;Gottlieben;2726852.528;1280727.364
SG;Zuzwil (SG);2726855.654;1258551.074
GR;San Vittore;2727225.787;1122440.337
TI;Arbedo-Castione;2727381.939;1117864.434
TG;Tägerwilen;2727434.742;1278836.729
GR;Calanca;2727553.21;1129077.526
TG;Schönholzerswilen;2727592.967;1263946.074
GR;Buseno;2727931.646;1126064.818
SG;Uzwil;2728046.982;1255337.114
TG;Weinfelden;2728109.104;1270197.164
SG;Ebnat-Kappel;2728202.111;1233027.006
TG;Bürglen (TG);2728903.278;1268333.471
SG;Oberbüren;2729131.097;1257910.269
TG;Berg (TG);2729547.484;1271427.288
SG;Flawil;2729580.527;1252105.038
GR;Vals;2729649.173;1159669.227
GR;Santa Maria in Calanca;2729849.286;1125299.46
GR;Rossa;2730158.961;1141135.535
GR;Castaneda;2730536.181;1124169.122
SG;Amden;2730890.491;1224638.657
GR;Grono;2731527.298;1123666.622
SG;Niederhelfenschwil;2731711.683;1259989.665
TG;Sulgen;2731778.895;1266845.259
GR;Roveredo (GR);2732140.799;1118092.102
TG;Birwinken;2732268.388;1271858.318
SG;Nesslau;2732335.937;1230415.092
TG;Kreuzlingen;2732697.692;1278073.365
SG;Neckertal;2732769.244;1245445.818
TG;Lengwil;2733042.659;1275392.271
SG;Degersheim;2733052.795;1246741.266
TG;Bottighofen;2733071.829;1277451.437
SG;Niederbüren;2733545.912;1258498.825
