NAME;E;N;Z
Dielsdorf;2676681;1259339;444
Lufingen;2686963;1260396;466
Winkel;2683963;1260764;447
Steinmaur;2676115;1260897;443
Frick;2643637;1262087;346
Embrach;2687093;1262230;426
Höri;2680491;1262299;409
Neerach;2677781;1262825;440
Rorbas;2685623;1265244;368
Erlenbach ZH;2687800;1239324;442
Bachenbülach;2683341;1262013;423
Kilchberg ZH;2683658;1242213;469
Ettingen;2608185;1259144;333
Eiken;2641066;1265442;321
Aarau Rohr;2648441;1250332;377
Niedergösgen;2641781;1246984;380
Rütihof;2662622;1254546;402
Oetwil an der Limmat;2672219;1253428;410
Mellingen;2662908;1252363;348
Saignelégier;2566540;1233990;980
Courtételle;2590649;1243291;441
Nidau;2585160;1219220;432
Courroux;2595462;1245417;419
Wiedlisbach;2615685;1233292;457
Bätterkinden;2607489;1220205;472
Wangen an der Aare;2616380;1231415;420
Hildisrieden;2659902;1222323;679
Oberlunkhofen;2672115;1240616;462
Couvet;2538703;1197439;746
Boudry;2553717;1199815;483
Bösingen;2584039;1193405;555
Jegenstorf;2605163;1210896;524
Gümligen;2605092;1198117;562
Rüegsauschachen;2616761;1207447;568
Grandson;2539315;1184523;456
Lucens;2554402;1173369;493
Granges-Paccot;2578046;1185587;603
Uetendorf;2610021;1180078;574
Bönigen b. Interlaken;2634939;1170637;568
Mont-sur-Rolle;2515464;1147204;468
St-Cergue;2501895;1145010;1054
Grandvaux;2545218;1150341;733
Puidoux;2548677;1149107;599
Chexbres;2549233;1148188;586
Susten;2617456;1128107;620
Ollon VD;2565620;1126831;418
Muraz (Collombey);2560715;1125425;397
Chamoson;2583328;1116754;651
Leytron;2582258;1114910;484
Camorino;2720875;1113633;246
Berikon;2670524;1244983;544
Zufikon;2669247;1244005;405
Laufenburg;2646453;1267425;322
Wallbach;2634832;1267586;291
Lengnau AG;2667072;1263772;413
Niederweningen;2670559;1262586;453
Turgi;2661329;1260459;342
Gipf-Oberfrick;2642512;1260901;370
Frenkendorf;2620551;1261499;342
Untersiggenthal;2662031;1261142;373
Füllinsdorf;2621821;1261619;316
Gebenstorf;2660466;1259522;347
Ennetbaden;2666323;1259116;380
Birmenstorf AG;2661439;1256852;382
Lausen;2624430;1257832;339
Ormalingen;2632887;1258010;427
Itingen;2626072;1257524;365
Gelterkinden;2631141;1257323;397
Otelfingen;2671739;1257018;435
Dättwil AG;2664124;1256113;429
Sissach;2628085;1257236;370
Neuenhof;2666913;1255997;394
Zunzgen;2627796;1255783;395
Würenlos;2669499;1254893;414
Lupfig;2658290;1255172;388
Fislisbach;2664247;1254453;423
Birr;2657941;1254088;398
Hölstein;2625010;1252645;427
Küttigen;2646093;1251806;417
Niederrohrdorf;2665249;1252987;433
Bubendorf;2622746;1255626;375
Mägenwil;2660078;1251688;416
Möriken AG;2656312;1251866;390
Rupperswil;2651821;1250581;374
Niederlenz;2655519;1250465;384
Othmarsingen;2658403;1250082;403
Stetten AG;2665613;1250390;389
Rombach;2646200;1250632;378
Klingnau;2660766;1270603;321
Bremgarten AG;2667774;1244476;396
Buchs AG;2648248;1249026;380
Hunzenschwil;2651814;1248412;402
Hägglingen;2661552;1248938;476
Schönenwerd;2642854;1247110;376
Dottikon;2660209;1247698;417
Lostorf;2638402;1248329;446
Schafisheim;2653175;1248821;401
Rudolfstetten;2670978;1246925;491
Niederwil AG;2664600;1247699;409
Widen;2669640;1246604;561
Seon;2654550;1244414;436
Trimbach;2634910;1245982;412
Gränichen;2650106;1245186;416
Gretzenbach;2641845;1245501;384
Oberentfelden;2645916;1245227;412
Däniken SO;2641182;1244776;390
Dintikon;2659723;1246662;434
Dulliken;2638175;1244657;398
Villmergen;2661038;1244315;431
Muhen;2646592;1242787;432
Wangen b. Olten;2632736;1243691;415
Kölliken;2644167;1242749;434
Oberwil-Lieli;2671734;1243405;576
Waltenschwil;2665051;1242735;428
Hägendorf;2630452;1242809;442
Seengen;2658066;1241985;478
