NAME;E;N;Z
Piz Posta Biala;2714170;1181978;3075
Piz Sena;2805583;1137028;3075
Piz Starlex;2826025;1172194;3075
Vetta Sperella;2805583;1137028;3075
Chli Tödi;2711493;1185783;3076
Crap Glaruna;2711493;1185783;3076
Crispalt;2695661;1171619;3076
Gerenhorn;2679340;1152964;3076
Golegghoren;2662146;1163016;3076
L'Eglise;2560078;1109570;3077
Boggtschingel;2710968;1189700;3078
Chüealphora;2788676;1173423;3078
Escherhorn;2658150;1156540;3078
Hirsihorn;2617006;1115045;3078
Piz Surpare;2765643;1148261;3078
Piz Val Lunga;2773759;1161977;3078
Pointe de la Forcletta;2617006;1115045;3078
Pointe du Tsaté;2608527;1106437;3078
Breite Krone;2813631;1194899;3079
Curuna Lada;2813631;1194899;3079
Jegihorn;2629192;1134940;3079
Lochberg;2678968;1164157;3079
Piz Porchabella;2788154;1167918;3079
Zwächten;2683853;1181164;3079
Clucher da Nuna;2807620;1178371;3080
Lògia;2723373;1149045;3080
Cima delle Piodelle;2657136;1127653;3081
L'Obelisc;2781067;1156049;3081
Tellispitza;2629059;1144521;3082
Cima da Lägh;2755589;1138115;3083
Gischihorn;2659782;1129706;3083
Piz Predarossa;2763455;1139862;3083
Pizzo Cornera;2659782;1129706;3083
Pointe de Tourtemagne;2617223;1117004;3083
Turtmannspitze;2617223;1117004;3083
Hinter Schiben;2717001;1186430;3084
Mont Rogneux;2583900;1095352;3084
Rot Wichel;2695784;1172787;3084
Chli Oberälpler;2702315;1178600;3085
Flüela Wisshorn;2793090;1182104;3085
Piz Tuoi;2807021;1191835;3085
Witenwasserenstock;2679501;1153515;3085
Heji Zwächte;2659276;1150673;3086
Punta Gerla;2660583;1131571;3087
Serre de Vouibé;2603242;1093608;3087
Tamierhorn;2678805;1139734;3087
Monte Rosso;2775516;1132727;3088
Piz Led;2779601;1137085;3088
Muttenstock;2722573;1190017;3089
Piz Mandra;2789153;1145865;3091
Vordre Tierberg;2673320;1172353;3091
